A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
7462385290,3112121701,7537295612,6223538253,4744716232,7197160237,4453862208,8310631341,8808229828,3514333286,6036606306,6297208261,22752954,4783026410,1498946875,3782992931,436324496,2093508308,8681058782,1372326279
,,,4621533807,5532426137,7409550948,501557374,4133378826,203870638,1371038164,3515829374,3274172874,8840785485,3869654303,9082443338,7978565633,8783796702,173386842,5091775027,4881984578
95365713,7777245434,8078523345,,,5433425510,2694003490,7964525779,3408101659,9050732168,5372144861,7741956680,5854281136,757099441,4818449507,3319479248,2189882709,3279631048,670618879,8326484448
3998490568,1235512387,6599405089,356313258,7652579506,6089902544,5567910354,346391049,1791743627,4947615480,,,,,,,7830893281,7536853199,5823595036,1241363118
6174241937,8490496450,2291073758,5168930387,1359968384,4275324575,4796986226,3603405320,8798855904,128818248,2282198167,6905594569,8776495167,996534754,4590112776,8668087443,1820111535,4084235531,1880673633,4155655766
3869488495,2971015650,159573527,295637150,4045004626,4721689214,4810570204,1611302467,,1022750048,,1847690125,7842712812,5485306919,7674254573,5003302085,3815270035,,,
7323932063,1035303107,3487227169,5309635940,,,,2699555398,1462239347,3424472318,6918452704,2229936557,8965886435,6727068882,5974743485,8276710526,2760779859,5055140645,1435166003,1292740275
5220683297,3277181250,7894875338,666951450,5457899381,740752452,,,4108942528,5756503284,620761651,8470398698,8217810785,5928196849,8380766307,8867668838,7854018453,4868711947,6295014187,3282718384
3512095571,5486765668,5568679321,848657639,2510741172,7036949934,7493188525,,,,,,,,,,,,,
404496234,2968796396,6414024176,5165028741,7365719172,2719077175,2846252136,4526084789,4407523147,3056109029,6358722630,2924398521,4497978067,3413209997,4627129278,5551341515,1360253893,4335410251,6528179259,1777306022
6228186253,3770347924,2915306843,3125268532,6026201583,3454127371,,,,,,5381439802,4821402222,7173046864,8765030392,4707567744,2268054907,4336346982,5240161354,8570431961
,7445923834,8236465883,7563300596,5139855138,1807983441,5193155254,1446545658,5863740115,7067489225,8217848094,8136310058,32912448,8315703539,4932160098,5701852011,8263164084,,,
4783615344,,4562790322,863040547,7933687901,7248539882,3096525429,6270724836,8192122804,1254000782,4593741338,7604613079,2016593354,8826125775,3047298948,368176622,8140380347,4640988159,2378207785,9015701508
4473530812,2959358826,4450783879,576870849,1112536076,6288903111,6926601089,6492658425,1625945721,3868351901,,,,,,,,,7790530125,3945341930
412369950,8084836454,3983109863,113572446,74893028,2999606550,8159896263,4834192056,1456132482,4452182990,2804032184,8769348608,1966078780,8583434224,3855776986,8597569673,5717785739,1574154258,929849969,6445726254
676181809,72837199,6601895653,7760689687,,,,5686375094,4949266392,7511024217,387752967,6864866373,6493173863,6374380033,8444807307,4209938062,3028099756,,,
5190092277,7970432580,213584742,1921603266,,,,697950477,2531615699,5081554890,3062382190,8061254463,4178729821,5698012300,6139914368,4275335758,3104860208,,,
2985790089,5643007943,4697402551,1410315628,3227939089,6245006259,221411468,8482008982,9039263753,6947623841,2112415769,4371324763,1529406561,8265514007,85737506,8366828439,3545163175,3247666057,8513479871,5921196789
1535843315,1333499510,5960320722,1596859969,1409788454,5452969002,5862138279,6014450302,836908546,44116048,513286880,1135659295,4958750588,1017810515,982832901,3028385079,6691432885,2271703814,6139978943,2792686674
1209824443,6662910792,8465829990,5603722871,3501071583,1721469498,5817682126,58662414,1170895535,393161197,5249852747,,,,,,,4013870176,5876761368,8967058818
1336980060,7385233514,2584816208,1835532358,2104640603,2935191514,8017196038,530284998,3311622035,4884035587,6816067837,8974830025,2901467872,4660524833,4763559990,6320209475,1919383246,3541608206,700389117,4916769939
3592252922,828960990,4647302451,4358413701,5425606690,3903860785,5961570890,1197065310,6724918430,6608394097,4056487534,2976382270,1025932194,5188816299,1034033383,4054820551,1500828108,8171410677,4181585580,7145718768
1485521410,2547075196,922784783,8965005045,2419869548,541726143,2433647849,7830139987,848981508,2847571113,6021375485,723689812,8046434641,8393020762,2968151073,706073484,6019737776,2359145507,1373820184,2192758831
9098402390,3588975272,8504145939,8214642012,3522720456,1309598018,5244764692,5627454453,439561212,1456753035,8261844600,3716027019,6975613840,3120674934,5557935873,87267507,4391152391,3983962059,5746761165,4743984964
1573947832,3666937818,5910516415,6265903596,3730197065,8141611080,,,,,,,,,,7672826087,175405889,3325671758,8516707820,588444943
2450059786,428933493,3223564206,3845758624,1513140454,6172433801,8411705920,4210989342,2598319373,5216130086,2154425888,8968372079,1071962477,7921530592,2407765056,182730947,5573155035,8565430483,3930852869,7129716728
3356345398,6315350781,5851039234,6198271970,997248385,2832036381,727883199,5763090722,7372220926,4193653668,8197849470,7423415592,6638888366,8719973927,7642568671,8231571092,2873119989,4976752996,5366288649,8463901554
5806859964,1007250032,6429398708,4238941259,776470755,,,,2373426647,3717284797,1340266550,1718457822,7590037156,,,5863432737,5057938411,416306841,7486195870,1106710141
1112952481,6828206373,5668053552,145468621,7232573742,,,,1842518932,3654001245,6533795760,7871512231,6760380356,6824397300,3915121115,1671253609,6330545857,7814399119,2533718562,2223412376
3014190600,612325628,1118710233,966138399,9025087041,8033635207,7271104435,3756353313,7099072301,8475150850,5006232659,2409928198,3606394314,6711902658,312386246,8174223927,6677294429,8339006273,9099945147,176364066
7996321887,1725654340,3839815581,6543852890,519036205,7343361327,529498779,6147098139,4981508504,6443169331,884018798,4084579686,128861717,2617073303,2783832859,4133138582,2376234229,7527460486,855297606,678225683
2170252576,7925026569,4728671355,8568400930,4479682211,7959239501,6517955790,8956046230,454526505,8435857267,785185557,438546856,,,,,,,,
136314032,4637976361,5032342616,3692850800,5669464356,8365779128,1278503203,8040698813,6718876451,1788952138,2224446845,4412947157,4712119563,5489836679,7941450816,2984020774,8969359031,1679968735,7466833857,7566127834
6235395000,6143645346,8162048724,1655996559,4909358763,2361573977,1958635296,3019037861,994177148,6500035405,8939636103,5239587380,3014855256,4280771288,8483411509,1304810762,1679986558,4219864494,2102799127,9094373358
5855959646,5672957347,46643246,6729347988,6366040373,6446611854,9014959428,4173395734,8450948228,9028004279,2255441859,6946798763,8143851566,2254507257,3228970387,2391335933,1323225811,2973290408,8550410976,8471053526
9073658897,8565842393,8586139507,9091082393,1825776131,5951527722,8418240112,3822215070,1486011055,,,,,,,,,,,7905509073
7980998886,4877266916,5751934812,33354777,8124606666,3918620349,4443446603,7994130934,2443993138,5406525594,8401609491,8853151459,3097696012,1359697746,6900514022,5738450143,70375286,4252130407,2298463105,9047514428
5073063278,1089968107,5522619207,1393584044,554505706,6228271547,6528321410,7034429089,6940135059,1402528955,8005555218,8542784058,7087117044,2540549555,8920073946,8309809438,2167412487,3706197129,1675512282,3280371247
79271591,1842077110,3032691818,4852676888,392101793,8701769971,5441538749,2312250225,1969865516,7976386900,5311676340,8564685314,1088741362,5302606934,8148286307,366878682,1635675290,8222642638,7759947371,1432483884
2767244949,3639714529,7669778721,1285993614,2192015763,2555740009,6939596318,3562613745,1378959287,6184250325,4220114838,9034748821,138161784,6439068456,560735174,6145382034,4690928408,8550817271,2124730474,3505245633
366806426,8784053134,3167537125,5767938292,8340190565,3058497995,5978486188,7644130821,4257030885,6202279274,3487518895,7027094552,7695589485,8450244448,8669771479,39038206,7424759770,852227143,5737226090,2085870707
3637992229,8197625304,1973217304,3520680,1877241497,1297025105,6728703164,2971524043,754131942,8347132413,5222456825,8817990707,3872460401,4671930573,3504511391,4139194635,914050285,9120303787,944064572,4689054763
2665795608,5373223596,302113212,2004308834,4078980986,7550185557,,,,,,,,,6554745193,3452371453,6844735061,253720480,8119137065,4481961150
949251236,948069953,7447002483,7697234829,1706425694,8436613011,7936600408,5534041781,4200012867,8909018092,4031167792,2128223054,617442485,2063452818,1198907093,8586951716,4967332543,2889564249,6566894497,7298773787
6711439533,4079621271,821349701,110430235,6407125441,8389005835,7900243913,3587477040,8744369434,1914368719,6052205294,7008356020,6072561162,7964478841,6253502238,5047831380,5775460426,965092221,6580660701,8873412753
7441197984,4285075974,8708000000,3174199336,7167865691,7005411581,352780773,5000329941,4643171221,4623684173,5387437528,4221630446,1417008790,2592924673,7241572226,5712595677,586275057,8997318992,3238338973,6895606583
,,,,,,6266286069,7558623995,1908998500,1640431217,5199707980,7820924756,3129609863,363682772,4016344923,6471190407,8319339786,9061350860,3080674145,4391161924
5572873017,8920990569,2728977880,1192009501,8170266323,960290255,3292586499,2355459008,1504457953,,,,8914228477,9025429740,6877016890,7944133723,7962241317,7294336919,6229921216,8277765533
390288724,1862779199,7609175702,2268347036,1822214666,5960837369,2924073024,2837771692,6139095308,6522320038,36368785,8827589943,7384479468,7676663093,5312918061,2007353394,7577714210,5766396917,8444278313,2537879322
973800848,5715377193,8561480942,1786726534,2250138910,6975574110,7150657892,1014067272,1459091519,2816689345,5206339139,5896185696,2822667006,7660360319,3039489608,3557288276,6886106729,646419646,5454001338,1151847320
3311860574,5472694839,3228054724,2178868502,8987531749,3941768816,2797209987,8421563787,4696348006,4265206587,3640587954,2201466475,7813492184,8536348587,2460936640,4874951392,3987954801,,,
1920496242,3067843757,3618391662,7612242205,7839808081,5650258892,3522830755,8865325823,6294366781,7946153033,2662309529,1311365562,7546589932,5279870346,,,345383195,,,
6315518586,833203454,8520621716,2078026528,8495311976,1395258899,3667524690,2359830460,4383393218,7488189756,5959618285,2661628530,9054357850,7297390912,3425950137,6868406316,5258447363,,,
8489813094,1131127620,2833545302,8870763756,1455504843,8931563900,,,3224970788,7211373333,7822708133,8152595050,6233481410,634839294,3478569315,2255137965,6315558003,6803528094,4466656364,805090514
7330380429,2127681600,4966192092,8943654083,6939122885,3871275249,,,6253168920,1908473830,6293135594,6097726138,3112463674,3928794197,2320900515,8151364333,9085070732,4742436234,8467980431,6732680090
2737210730,217498816,8010940078,5007005311,6863631917,6196809056,5336349695,2994751929,9005215976,8745933361,2104455675,2209860708,1753901522,363747246,2083813022,1065667577,5072797728,750742094,592232584,474383431
,,,3305571708,3492705309,4219648417,5600561911,6685415803,7022308172,649206679,,,,,,,4320105464,5594728273,3035209370,2539208254
8810361703,2838276676,5166572241,1010147717,8119610643,7860901979,2429386352,3324289840,1370928841,311607102,2001762144,1171454048,7226380473,684565082,1254077000,1014338367,7603994015,4442806091,2318498359,8662344193
8303019,1727517655,3867361821,5717785054,8551618278,8054710044,8467139676,48186671,598542477,2022618185,4071119776,6737436647,3437080270,5655313521,1805459744,6812918033,6229360939,5562945011,513684327,2080959880
4635647191,5819514511,2111538763,5626445842,266172106,2634032101,163553598,8165120455,6025823373,2931276324,8741226880,3713998456,1588506432,8917296088,4044990612,832111957,181470973,306429760,8736730855,657733577
4405177371,,,,,,,,,,,,,,,,4820681367,,2943007558,2576185124
157125348,,,,,,,,,,,,,,,,8014010519,2268919966,7391427603,7504661596
2703755080,,,,,,,,,,,,,,,,,,,2199897370
9066039845,,,,,,,,,,,,,,,,6780740112,8594097111,2013644335,1528654411
2053284372,,,,,,,,,,,,,,,,2793670188,2857121155,8663313582,5850932012
5920493865,,,,,,,,,,,,,,,,9015054259,1999209545,709357914,7996249116
327073230,,,,,,,,,,,,,,,,5592821703,423120620,1684708060,3855210713
4809007761,,,,,,,,,,,,,,,,7401072367,2826942822,5031474603,
3289158943,,,,,,,,,,,,,,,,799688500,2365596465,2405939659,7902583034
3589555024,,,,,,,,,,,,,,,,6608636510,9092545522,6801108881,783204574
7256549862,,,,,,,,,,,,,,,,7366538163,5720553991,4707848656,8771508435
6819775888,4132232046,5913099627,1716629034,1727680397,1877981724,6845365519,5136607964,5161244279,2965876242,6127527662,8723457710,4669708548,6867680232,966962981,28708930,4433078122,6989916177,6875475318,5547105453
6996395910,6969141599,1685395404,1536980791,7420940464,3304643302,7612119613,3425928938,4735278136,883674983,3067973260,1046447331,1508676244,5873800226,7618403755,1444689218,3108158084,2878859447,4099990960,4645323355
626450995,4805999044,5301484134,2018460852,2595472192,1095630695,7197675480,2742617158,5747511767,7747952747,2053823399,1212688213,5947491784,5627140970,1117834780,8394759253,7629678084,6434682208,5765373575,8868179480
8720814995,7342497838,3233124782,8145313306,1731577713,215829288,2345738119,2659009369,1725422781,1232125206,5183653950,589129657,6971183780,1242261275,478628353,3994889256,455044821,8705448177,5465518308,826659924
308702083,4606584928,4899971617,5174811678,3233747241,4736113011,1700418859,2014916453,1684736648,2409789594,4698127751,2092337562,7657437175,801090700,4224873083,6298917477,3992889911,1992033739,6383822807,8773809457
2776479533,8042079668,6064866903,432771644,7933508893,7806382830,1380034134,1396209504,3857644055,930872043,1207956260,5164342612,8922704720,9022141720,4053317300,1998909989,3424713752,1080477415,7226940590,8845374920
,6621810369,5794857561,5424989314,4727062539,2073279047,465572831,5667445933,5176781959,6109867910,4431668804,4151431591,8396334930,7845184548,1182158727,8573304946,11107373,4987429232,176751503,7899409197
,214435791,6359874350,9064993431,5907802828,6357759133,6749118474,2928023798,2794115095,2467850902,7439561807,8170752673,7329050381,6557682563,2501314712,8047864138,2110852051,3506619911,905117866,7024565645
,4882528011,2084868390,7538498406,8776387109,504850739,5342013054,7061481683,3379535805,5264519040,6148031379,2609614234,1351430063,998223140,8553707667,7925194294,4500861578,1881607941,5335593030,7686911358
,520557310,1890599803,2135607283,4507381631,5282771874,3152515716,,,,,3926315038,3578603747,6775688929,7241025140,8276681215,7852109449,6396943966,667283989,564753209
,5976701648,1103993402,8461247382,1595543482,3487835771,1232086575,,,,,1569352765,,,,,,,,
,8005122512,,2867219861,741197123,180504015,7054717813,4085839137,8531861208,3054718169,8035875844,3744837875,6846150324,8309824040,8593724324,2867987350,8043268024,4669430032,6121879328,6968943659
,2399525690,4212872639,5209323738,915211747,5066447361,1362952981,2142956424,5163855463,527876995,3166454173,5309491887,6379082499,1279210767,4178738754,4929234122,8880447786,8877133892,2632799229,2596602953
,3549897615,5932178168,4106240673,2635007096,6229962906,4761171838,1780438935,6017024782,6874063977,5305911880,8353336615,2116883521,8194748012,5883574155,3306310504,5863959370,5871166502,4974700781,4136384230
3334061328,1613439034,607230443,3851170205,6789581504,2592101731,4516604340,3142412022,4613592134,8294054169,4218196644,7601082997,2366710173,7409408652,2299881944,3512037039,2238474006,5896431584,377254908,62318953
1655957040,3184773566,1438178088,3977445280,1524682666,6109726584,1965664589,884157673,2162044570,7779934710,5992676453,8301855940,9064593235,6907559309,6540964455,4367099877,327537398,799724079,4710199651,816749891
5063478907,2795924269,6469480145,7905993195,8906936649,8816604666,3929167500,308724997,6823963536,3667358215,3302328329,4754237843,2819329290,5049928852,3652219933,7379980035,7726972957,6449684434,2137773074,7849645749
4503478657,8595069847,7040088038,2153552720,3931206382,8491690371,8690788119,3611507036,6592848612,2226710830,8716574089,8217625259,1684876050,4782236581,6312021866,1870715405,6556935517,256911495,3817505930,3293283379
6475440540,5157464623,859443233,5454308171,8518067304,250970119,8912624606,4813044630,6482064822,677277633,8110144978,5847515375,787592395,1665638227,5559314731,2256628731,6636710563,7587654163,3134413618,7099325218
183991351,212660375,4992680103,7747344870,2375098958,2767455488,903976162,8055262872,23689744,5249329968,3605894454,5728847680,1629665282,1401185648,630653462,4440122146,8575351315,2257540629,2550851373,2150296999
4636945387,6541185703,477064944,2403896494,8959943592,5429771032,6571338082,1192960368,271747411,1366283321,3392974131,1321006897,6085984047,5649818947,5162997718,6098107854,5715614818,2686660545,1445496454,6192623028
4648395661,486029948,1061814523,6888376181,5069947942,1931094899,273498678,1757640517,6784019396,8012327110,6291914449,7665102350,6117717195,4894324789,4042991316,4888370524,105908920,7811942962,2989351675,3694636375
8897305057,1295348205,1371519955,1520039549,2389812725,8695611836,7606678928,9111995031,6318639237,2942504664,7492691917,3571000402,6040319683,258216087,8130161312,6307418622,375296481,2580308267,8503165378,5514808293
1394803449,6303523626,3199253503,8575069367,1021265564,5081276231,3599766851,3419459317,8634313297,6136440045,2465608645,3825173305,3358049910,6611644456,2006075067,2834302717,8548172755,7970018448,4531581681,535019154
8802049572,,,,,,,,,,,,,,,,,,,
1533054889,3159507510,1355323909,7867356661,6300091944,3515778432,103648676,5782419620,3687168159,5620227566,724950908,2696898478,6852407943,3498692638,18935686,1532789914,3136019959,8738569085,6053487182,1679888411
2314073039,1178892812,6506674911,7545599771,3977069217,484461655,1423397593,3133772793,7345105775,1550760740,2914163142,7304121329,1515174145,1892482602,4721824450,2117772298,13365976,568616490,6876068504,70384159
4345139435,7184138991,6165371104,5485201029,648793284,3750467734,4758668519,6549959781,402603501,5399988598,2887303990,5796653919,5350226113,177152180,4779455803,2793567434,4064718696,6427600554,7638037501,7538985112
